Steps out_loss reg_loss point_loss train_accuracy time memory
0 2.493 26.694 0.848 0.50 9.39 4307.0
1 2.052 26.694 1.096 0.56 9.54 4307.0
2 1.432 26.693 1.036 0.68 9.69 4307.0
3 0.753 26.691 1.029 0.78 9.84 4307.0
4 0.435 26.690 1.349 0.88 9.96 4307.0
5 0.408 26.688 1.419 0.89 10.11 4307.0
6 0.444 26.685 1.477 0.89 10.23 4307.0
7 0.714 26.682 1.644 0.85 10.35 4307.0
8 0.588 26.679 1.643 0.87 10.49 4307.0
9 0.391 26.676 1.809 0.90 10.61 4307.0
10 0.320 26.672 1.763 0.92 10.74 4307.0
11 0.318 26.667 2.096 0.92 10.87 4307.0
12 0.325 26.663 1.916 0.91 11.01 4307.0
13 0.362 26.658 1.895 0.90 11.16 4307.0
14 0.330 26.653 1.838 0.91 11.24 4307.0
16 0.436 26.647 2.218 0.89 13.58 4307.0
17 0.255 26.641 1.934 0.92 13.72 4307.0
18 0.275 26.635 2.137 0.93 13.85 4307.0
19 0.283 26.628 2.205 0.90 13.98 4307.0
20 0.250 26.622 2.186 0.91 14.11 4307.0
21 0.276 26.615 2.208 0.92 14.25 4307.0
22 0.247 26.608 2.194 0.92 14.38 4307.0
23 0.244 26.600 2.264 0.93 14.52 4307.0
24 0.265 26.593 2.372 0.92 14.65 4307.0
25 0.322 26.585 2.287 0.91 14.79 4307.0
26 0.365 26.576 2.378 0.91 14.94 4307.0
27 0.235 26.568 2.527 0.93 15.08 4307.0
28 0.310 26.560 2.407 0.92 15.24 4307.0
29 0.457 26.552 2.671 0.87 15.39 4307.0
31 0.221 26.543 2.770 0.93 17.12 4307.0
32 0.183 26.535 3.064 0.94 17.26 4307.0
33 0.254 26.527 2.925 0.93 17.41 4307.0
34 0.212 26.519 3.145 0.93 17.55 4307.0
35 0.162 26.510 3.047 0.95 17.69 4307.0
36 0.230 26.502 3.124 0.93 17.83 4307.0
37 0.284 26.493 3.037 0.93 17.97 4307.0
38 0.286 26.484 3.369 0.92 18.11 4307.0
39 0.238 26.476 3.078 0.93 18.25 4307.0
40 0.226 26.467 3.183 0.93 18.39 4307.0
41 0.148 26.458 3.067 0.95 18.52 4307.0
42 0.297 26.449 3.160 0.90 18.66 4307.0
43 0.194 26.439 3.229 0.94 18.80 4307.0
44 0.156 26.430 3.408 0.95 18.91 4307.0
46 0.199 26.421 3.553 0.93 20.64 4307.0
47 0.210 26.411 3.730 0.93 20.78 4307.0
48 0.208 26.402 3.369 0.93 20.92 4307.0
49 0.173 26.393 3.777 0.93 21.07 4307.0
50 0.176 26.383 3.604 0.92 21.18 4307.0
51 0.261 26.374 4.017 0.90 21.33 4307.0
52 0.199 26.364 3.915 0.93 21.47 4307.0
53 0.202 26.354 3.874 0.93 21.62 4307.0
54 0.273 26.344 3.815 0.91 21.75 4307.0
55 0.140 26.335 3.976 0.94 21.87 4307.0
56 0.184 26.325 4.169 0.93 22.00 4307.0
57 0.239 26.315 4.212 0.93 22.14 4307.0
58 0.141 26.306 4.256 0.95 22.29 4307.0
59 0.144 26.296 4.594 0.94 22.43 4307.0
60 0.953 26.287 5.150 0.85 22.49 4307.0
62 0.200 26.278 5.273 0.92 24.18 4307.0
63 0.157 26.270 5.112 0.94 24.31 4307.0
64 0.150 26.262 5.624 0.94 24.45 4307.0
65 0.166 26.255 5.239 0.93 24.60 4307.0
